Instance,BKS,Prins,Mester and Bräysy,Nagata and Bräysy,HGSADC
C1,524.61,524.61,524.61,524.61,524.61
C2,835.26,835.26,835.26,835.61,835.26
C3,826.14,826.14,826.14,826.14,826.14
C4,1028.42,1031.63,1028.42,1028.42,1028.42
C5,1291.29,1300.23,1291.29,1291.84,1291.45
C6,555.43,555.43,555.43,555.43,555.43
C7,909.68,912.30,909.68,910.41,909.68
C8,865.94,865.94,865.94,865.94,865.94
C9,1162.55,1164.25,1162.55,1162.56,1162.55
C10,1395.85,1420.20,1401.12,1398.30,1395.85
C11,1042.11,1042.11,1042.11,1042.11,1042.11
C12,819.56,819.56,819.56,819.56,819.56
C13,1541.14,1542.97,1541.14,1542.99,1541.14
C14,866.37,866.37,866.37,866.37,866.37




