,normal,log
C1,0.03556527942419052,0.038112200796604156
C10,0.035683803260326385,0.037514880299568176
C11,0.03532559797167778,0.03776219114661217
C12,0.03556527942419052,0.038112200796604156
C13,0.5504717230796814,0.06672091782093048
C14,0.03556527942419052,0.038112200796604156
C2,0.017189355567097664,0.026400163769721985
C3,0.03556527942419052,0.038112200796604156
C4,0.0005440555396489799,0.028191348537802696
C5,0.0013958237832412124,0.0013779826695099473
C6,0.03556527942419052,0.038112200796604156
C7,0.03535299375653267,0.1295004040002823
C8,0.03556527942419052,0.038112200796604156
C9,0.008466902188956738,0.005552977789193392
